ID,Name,Code,Legal form,Status,Registration Date,Capital,Address,Area of Activity,EMTAK Code,NACE Code,Partners,Partner_Participations,Partner_Contributions,Representatives,Representative_Roles,Representative_Start_Dates,Deletion Date
789,PalermoCateringOÃœ(10957093),10957093.0,Private limited company,Deleted,07.07.2003,,,,,,,,,,,,02.07.2012
790,PangaimotuHolongaOÃœ(14329654),14329654.0,Private limited company,Enteredintotheregister,11.09.2017,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa RÃ¤vala pst 8-241c 10143,Travel agency activities,79111 (EMTAK 2008),79.11,\n,100.00%,\n                                    2500.00 EUR,\n                                Raul Pint\n,\n                                Management board member\n,21.08.2020,
791,PaspartuutransOÃœ(16327080),16327080.0,Private limited company,Enteredintotheregister,27.09.2021,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Haabersti linnaosa Pikaliiva tn 90/2-32 13516,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,\n                                        Pasi Antero Ryh\xc3\xa4nen\n,100.00%,\n                                    2500.00 EUR,\n                                Pasi Antero Ryh\xc3\xa4nen\n,\n                                Management board member\n,20.12.2021,
792,OÃœPeipsiEhitus(11157182),11157182.0,Private limited company,Deleted,12.08.2005,,,,,,,,,,,,12.05.2014
793,MTÃœPereLooduspaik(80606863),80606863.0,Non-profit association,Enteredintotheregister,01.02.2022,,LÃ¤Ã¤ne maakond Haapsalu linn SepakÃ¼la JÃ¼ri 90442,Youth and children associations and associations that promote the welfare of youth and children,94993 (EMTAK 2008),94.99,,,,\n                                Steve Truumets\n,\n                                Management board member\n,01.02.2022,
794,PesuSPAOÃœ(14136967),14136967.0,Private limited company,Enteredintotheregister,20.10.2016,Capitalis25Â 000Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa PÃ¤rnu mnt 41a 10119,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,\n                                        Artjom Kirjuhhin\n,100.00%,\n                                    25000.00 EUR,\n                                Artjom Kirjuhhin\n,\n                                Management board member\n,20.10.2016,
795,OsaÃ¼hingPhotoFactory(11517158),11517158.0,Private limited company,Deleted,16.07.2008,,,,,,,,,,,,22.07.2013
796,OsaÃ¼hingPispar(10073342),10073342.0,Private limited company,Enteredintotheregister,20.08.1996,Capitalis2Â 555Â â‚¬,Harju maakond Tallinn MustamÃ¤e linnaosa E. Vilde tee 63-28 13421,Repair of machinery,33121 (EMTAK 2008),33.12,"\n                                        Sergei Lomakov\n, \n                                        Ljudmila Lomakova\n","80.00%, 20.00%","\n                                    2044.00 EUR, \n                                    511.00 EUR",\n                                Sergei Lomakov\n,\n                                Management board member\n,20.08.1996,
797,PlanetspaceOÃœ(16456203),16456203.0,Private limited company,Enteredintotheregister,08.03.2022,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Tartu mnt 67/1-13b 10115,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,\n                                        Hicham Batou\n,100.00%,\n                                    2500.00 EUR,\n                                Hicham Batou\n,\n                                Management board member\n,08.03.2022,
798,PLSpaceOÃœ(12564587),12564587.0,Private limited company,Enteredintotheregister,05.11.2013,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn NÃµmme linnaosa PÃ¤ikese pst 78 10913,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,"\n                                        Paul Liias\n, \n                                        Erik Kulu\n","70.00%, 30.00%","\n                                    1750.00 EUR, \n                                    750.00 EUR",\n                                Paul Liias\n,\n                                Management board member\n,05.11.2013,
799,PluspakOÃœ(10543428),10543428.0,Private limited company,Enteredintotheregister,25.03.1999,Capitalis2Â 556Â â‚¬,Harju maakond Tallinn Haabersti linnaosa KeskkÃ¼la tn 2 13516,Wholesale of other intermediate products,46761 (EMTAK 2008),46.76,"\n                                        Indrek Meelak\n, \n                                        Leili Meelak\n","50.00%, 50.00%","\n                                    1278.00 EUR, \n                                    1278.00 EUR",\n                                Leili Meelak\n,\n                                Management board member\n,25.03.1999,
800,OsaÃ¼hingPLUSSPANUS(10611785),10611785.0,Private limited company,Enteredintotheregister,14.12.1999,Capitalis2Â 556Â â‚¬,Harju maakond Rae vald Lagedi alevik Kooli tn 20 75303,Freight transport by road,4941 (EMTAK 2008),49.41,\n                                        Urmas Kleeberg\n,100.00%,\n                                    2556.00 EUR,\n                                Urmas Kleeberg\n,\n                                Management board member\n,28.07.2016,
801,osaÃ¼hingPlusspartner(10487813),10487813.0,Private limited company,Enteredintotheregister,06.11.1998,Capitalis25Â 564Â â‚¬,Harju maakond Saku vald Saku alevik Ãœksnurme tee 10 75501,Maintenance and repair of motor vehicles,45201 (EMTAK 2008),45.2,\n                                        Andrus J\xc3\xb5essaar\n,100.00%,\n                                    25564.00 EUR,\n                                Andrus J\xc3\xb5essaar\n,\n                                Management board member\n,12.01.1999,
802,PodSpaceOÃœ(14339722),14339722.0,Private limited company,Enteredintotheregister,26.09.2017,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa Sepapaja tn 6 15551,Web portals,63121 (EMTAK 2008),63.12,\n                                        Miklos Bal\xc3\xa1zs\n,100.00%,\n                                    2500.00 EUR,\n                                Miklos Bal\xc3\xa1zs\n,\n                                Management board member\n,26.09.2017,
803,Pohjois-suomenRakennuspalveluOÃœ(11224116),11224116.0,Private limited company,Deleted,23.02.2006,,,,,,,,,,,,11.12.2009
804,POLARSPACEOÃœ(11204444),11204444.0,Private limited company,Enteredintotheregister,01.02.2006,Capitalis42Â 000Â EEK,PÃ¤rnu maakond PÃ¤rnu linn PÃ¤rnu linn RÃ¤Ã¤ma tn 13a-3 80037,Floor and wall covering,43331 (EMTAK 2008),43.33,\n                                        Argo Kihu\n,100.00%,\n                                    42000.00 EEK,\n                                Argo Kihu\n,\n                                Management board member\n,05.04.2006,
805,PolyverseOÃœ(14212697),14212697.0,Private limited company,Enteredintotheregister,28.02.2017,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa Sepapaja tn 6 15551,Computer programming activities,62011 (EMTAK 2008),62.01,\n                                        Jan Piet L Boon\n,100.00%,\n                                    2500.00 EUR,\n                                Jan Piet L Boon\n,\n                                Management board member\n,28.02.2017,
806,PostimajaDaySpaOÃœ(14947192),14947192.0,Private limited company,Enteredintotheregister,02.04.2020,Capitalis2Â 500Â â‚¬,Harju maakond Kuusalu vald PÃµhja kÃ¼la Kastani 74635,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,\n                                        Grete-Kristin Kastan\n,100.00%,\n                                    2500.00 EUR,\n                                Grete-Kristin Kastan\n,\n                                Management board member\n,02.04.2020,
807,Pressmy.spaceOÃœ(16411662),16411662.0,Private limited company,Enteredintotheregister,03.01.2022,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn PÃµhja-Tallinna linnaosa Kopli tn 50/1 10412,"Retail sale of computers, peripheral units and software in specialised stores",47411 (EMTAK 2008),47.41,\n                                        Marc Konno\n,100.00%,\n                                    2500.00 EUR,\n                                Marc Konno\n,\n                                Management board member\n,03.01.2022,
808,PrivilegDaySpaOÃœ(12088230),12088230.0,Private limited company,Enteredintotheregister,08.04.2011,Capitalis3Â 000Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa TÃµnismÃ¤gi 3a 10119,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,\n                                        Kristina Vehvil\xc3\xa4inen\n,100.00%,\n                                    3000.00 EUR,\n                                Kristina Vehvil\xc3\xa4inen\n,\n                                Management board member\n,10.12.2012,
809,ProEhituspartnerOÃœ(14057245),14057245.0,Private limited company,Enteredintotheregister,30.05.2016,Capitalis2Â 500Â â‚¬,Ida-Viru maakond Kohtla-JÃ¤rve linn JÃ¤rve linnaosa JÃ¤rvekÃ¼la tee 22 30328,"Other retail sale not in stores, stalls or markets",4799 (EMTAK 2008),47.99,\n                                        Ruslan \xc5\xa0evt\xc5\xa1uk\n,100.00%,\n                                    2500.00 EUR,\n                                Ruslan \xc5\xa0evt\xc5\xa1uk\n,\n                                Management board member\n,21.12.2018,
810,ProgressPartnerOÃœ(11399614),11399614.0,Private limited company,Enteredintotheregister,26.06.2007,Capitalis2Â 556Â â‚¬,Harju maakond Rae vald Aaviku kÃ¼la Toome tn 8/1 75305,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,\n                                        Andri Hokkonen\n,100.00%,\n                                    2556.00 EUR,\n                                Andri Hokkonen\n,\n                                Management board member\n,09.07.2007,
811,OÃœProspace(11282289),11282289.0,Private limited company,Deleted,23.08.2006,,,,,,,,,,,,11.06.2013
812,PSPALDAOÃœ(11691378),11691378.0,Private limited company,Deleted,17.07.2009,,,,,,,,,,,,12.11.2013
813,PuhastusPartnerOÃœ(12099848),12099848.0,Private limited company,Deleted,02.05.2011,,,,,,,,,,,,17.05.2017
814,PuhastuspartnerUÃœ(14373638),14373638.0,Limited partnership,Enteredintotheregister,20.11.2017,,Harju maakond Tallinn PÃµhja-Tallinna linnaosa Maisi tn 15 10317,Other cleaning activities of buildings and industrial cleaning,81221 (EMTAK 2008),81.22,,,,\n                                Egert Eenloo\n,\n                                General partner\n,20.11.2017,
815,PureSpaceSystemsOÃœ(16143776),16143776.0,Private limited company,Enteredintotheregister,20.01.2021,Capitalis2Â 500Â â‚¬,,"Wholesale of other general-purpose and special-purpose machinery, apparatus and equipment",46699 (EMTAK 2008),46.69,\n                                        Tom Johan Gerard De Jongh\n,100.00%,\n                                    2500.00 EUR,\n                                Tom Johan Gerard De Jongh\n,\n                                Management board member\n,20.01.2021,
816,PuutÃ¼Ã¼miisBendiKaspar(14584855),14584855.0,Sole trader,Deleted,11.10.2018,,,Repair of furniture and home furnishings,95241 (EMTAK 2008),95.24,,,,,,,01.07.2021
817,OsaÃ¼hingPÃ¤iviDiiselService(11254076),11254076.0,Private limited company,Deleted,12.05.2006,,,,,,,,,,,,18.08.2022
818,MittetulundusÃ¼hingPÃ„RIMUSPADA(80571082),80571082.0,Non-profit association,Enteredintotheregister,04.10.2019,,VÃµru maakond Setomaa vald Obinitsa kÃ¼la KesktÃ¤nav 20 65301,"Ethnic minorities organisations and cultural societies, associations for the purpose of integrityand friendship between nations",94994 (EMTAK 2008),94.99,,,,\n                                Rieka H\xc3\xb5rn\n,\n                                Management board member\n,04.10.2019,
819,PÃ¤rnuAutoSpaOÃœ(14881530),14881530.0,Private limited company,Enteredintotheregister,06.01.2020,Capitalis2Â 500Â â‚¬,PÃ¤rnu maakond PÃ¤rnu linn PÃ¤rnu linn Lai tn 10/3 80010,Car washing and other services,45202 (EMTAK 2008),45.2,\n                                        Viktoria Laur\n,100.00%,\n                                    2500.00 EUR,\n                                Viktoria Laur\n,\n                                Management board member\n,06.01.2020,
820,OÃœPÃ¤rnuSeikluspark(11410669),11410669.0,Private limited company,Deleted,08.10.2007,,,,,,,,,,,,20.09.2019
821,PÃ¤rnuSpaHotellOÃœ(16603290),16603290.0,Private limited company,Enteredintotheregister,28.10.2022,Capitalis2Â 500Â â‚¬,PÃ¤rnu maakond PÃ¤rnu linn PÃ¤rnu linn A. H. Tammsaare pst 35 80010,Hotels,55101 (EMTAK 2008),55.1,\n,100.00%,\n                                    2500.00 EUR,\n                                Kaisa Mailend\n,\n                                Management board member\n,28.10.2022,
822,PÃ¼haFranciscuseMariaImmaculataÃ•dedeKloosterTartus(80216180),80216180.0,Non-profit association,Enteredintotheregister,17.01.2005,,Tartu maakond Tartu linn Tartu linn Veski tn 2 51005,"Activities of churches, congregations and monasteries",94911 (EMTAK 2008),94.91,,,,\n                                Pavla Mertov\xc3\xa1 (\xc3\xbclem\xc3\xb5de Milada)\n,\n                                Management board member\n,03.12.2018,
823,PyynikinkÃ¤sityÃ¶lÃ¤ispanimoOyEestifiliaal(16065384),16065384.0,Branch of a foreign company,Deleted,30.09.2020,,,Manufacture of beer,11051 (EMTAK 2008),11.05,,,,,,,19.09.2022
824,ASQRatsanikudPP(10589092),10589092.0,Public limited company,,26.10.1999,Capitalis1Â 200Â 000Â EEK,Harju maakond Tallinn Kesklinna linnaosa Pronksi tn 19 10124,"Other credit granting, except pawn shops",64929 (EMTAK 2008),64.92,,,,\n                                Kalle M\xc3\xb5tsnik\n,\n                                Trustee in bankruptcy\n,30.06.2010,
825,MittetulundusÃ¼hingQ-Space(80608767),80608767.0,Non-profit association,Enteredintotheregister,17.03.2022,,Harju maakond Tallinn PÃµhja-Tallinna linnaosa Telliskivi tn 60a/3 10412,Protection and custody of civil rights; special group protection activities,94991 (EMTAK 2008),94.99,,,,\n                                Alari Rammo\n,\n                                Management board member\n,17.03.2022,
826,QualityPools&SpasOÃœ(12528901),12528901.0,Private limited company,Deleted,30.08.2013,,,,,,,,,,,,11.03.2016
827,R2SPAOÃœ(12961526),12961526.0,Private limited company,Enteredintotheregister,10.12.2015,Capitalis10Â 000Â â‚¬,Tartu maakond Tartu linn Tartu linn Ujula tn 2 51008,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,\n,100.00%,\n                                    10000.00 EUR,\n                                Tarmo Punger\n,\n                                Management board member\n,13.01.2017,
828,RaamatupidamispartnerOÃœ(12432609),12432609.0,Private limited company,Deleted,05.03.2013,,,,,,,,,,,,26.04.2017
829,RadialSpaceOÃœ(14398696),14398696.0,Private limited company,Enteredintotheregister,02.01.2018,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Vene tn 10-3a 10123,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,\n                                        Mihkel-Kaarel Raidal\n,100.00%,\n                                    2500.00 EUR,\n                                Mihkel-Kaarel Raidal\n,\n                                Management board member\n,02.01.2018,
830,RadiusSPACEOÃœ(12766701),12766701.0,Private limited company,Enteredintotheregister,10.12.2014,Capitalis5Â 000Â â‚¬,Harju maakond Kiili vald Kiili alev LoovÃ¤lja tee 5 75401,Manufacture of other transport equipment n.e.c.,30991 (EMTAK 2008),30.99,"\n                                        Veljo Konnimois\n, \n                                        Andrei Ver\xc5\xa1inin\n","80.00%, 20.00%","\n                                    4000.00 EUR, \n                                    1000.00 EUR",\n                                Alvar Sass\n,\n                                Management board member\n,10.12.2014,
831,RadugaCapitalOÃœ(12582154),12582154.0,Private limited company,Deleted,10.12.2013,,,,,,,,,,,,21.11.2019
832,OsaÃ¼hingRakennus-jaMaalauspalvelu(11998355),11998355.0,Private limited company,Enteredintotheregister,28.09.2010,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa LinnamÃ¤e tee 35-64 13912,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,\n                                        Stanislav Kazakov\n,100.00%,\n                                    2500.00 EUR,\n                                Stanislav Kazakov\n,\n                                Management board member\n,28.09.2010,
833,RakennuspalveluEvertOÃœ(12637122),12637122.0,Private limited company,Deleted,31.03.2014,,,,,,,,,,,,27.05.2019
834,RAKENNUSPALVELUGRUPPOÃœ(11331332),11331332.0,Private limited company,Deleted,18.12.2006,,,,,,,,,,,,12.08.2015
835,RameviRakennuspalvelutOÃœ(12211558),12211558.0,Private limited company,Deleted,30.12.2011,,,,,,,,,,,,27.01.2016
836,RaplaKaubandus-jatÃ¶Ã¶stusparkOÃœ(11444958),11444958.0,Private limited company,Deleted,01.11.2007,,,,,,,,,,,,21.01.2011
837,OÃœRASPADOR(10986485),10986485.0,Private limited company,Deleted,05.12.2003,,,,,,,,,,,,09.04.2010
838,OÃœRatsionaal(11465452),11465452.0,Private limited company,Enteredintotheregister,29.01.2008,Capitalis2Â 556Â â‚¬,Harju maakond Harku vald Tabasalu alevik Lehe tee 8 76901,Buying and selling of own real estate,68101 (EMTAK 2008),68.1,\n                                        Priit Altpere\n,100.00%,\n                                    2556.00 EUR,\n                                Priit Altpere\n,\n                                Management board member\n,29.01.2008,
839,RaunoReispass(12611111),12611111.0,Sole trader,Enteredintotheregister,10.02.2014,,Harju maakond Tallinn LasnamÃ¤e linnaosa Priisle tee 4/2-65 13914,Taxi operation,49321 (EMTAK 2008),49.32,,,,\n                                Rauno Reispass\n,\n                                Sole trader\n,10.02.2014,
840,RaunoVeispak(12749482),12749482.0,Sole trader,Deleted,10.11.2014,,,,,,,,,,,,30.04.2015
841,RealspanOÃœ(16381582),16381582.0,Private limited company,Enteredintotheregister,03.12.2021,Capitalis2Â 500Â â‚¬,Tartu maakond Tartu linn Tartu linn Lai tn 6 51005,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,\n                                        Elvira Sokolova\n,100.00%,\n                                    2500.00 EUR,\n                                Roman Buglevski\n,\n                                Management board member\n,03.12.2021,
842,RealsparkOÃœ(16113350),16113350.0,Private limited company,Enteredintotheregister,02.12.2020,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn MustamÃ¤e linnaosa Retke tee 28-37 13419,Real estate agencies,68311 (EMTAK 2008),68.31,\n                                        Liise Salu\n,100.00%,\n                                    2500.00 EUR,\n                                Liise Salu\n,\n                                Management board member\n,02.12.2020,
843,ReispacitoOÃœ(16263233),16263233.0,Private limited company,Enteredintotheregister,05.07.2021,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn MustamÃ¤e linnaosa A. H. Tammsaare tee 85 13416,Other service activities,96099 (EMTAK 2008),96.09,\n                                        Karl Reispass\n,100.00%,\n                                    2500.00 EUR,\n                                Karl Reispass\n,\n                                Management board member\n,05.07.2021,
844,OÃœreispass.com(14211580),14211580.0,Private limited company,Enteredintotheregister,27.02.2017,Capitalis2Â 500Â â‚¬,LÃ¤Ã¤ne maakond LÃ¤Ã¤ne-Nigula vald PÃ¤ri kÃ¼la Vetissilla 90717,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,\n                                        Ruta P\xc3\xa4rnpuu\n,100.00%,\n                                    2500.00 EUR,\n                                Ruta P\xc3\xa4rnpuu\n,\n                                Management board member\n,27.02.2017,
845,OsaÃ¼hingReispass(10411684),10411684.0,Private limited company,Enteredintotheregister,20.03.1998,Capitalis2Â 556Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Tare tn 14 10135,Travel agency activities,79111 (EMTAK 2008),79.11,\n                                        Marian Vips\n,100.00%,\n                                    2556.00 EUR,\n                                Marian Vips\n,\n                                Management board member\n,20.03.1998,
846,OsaÃ¼hingRekspakk(10498047),10498047.0,Private limited company,,29.09.1998,Capitalis50Â 000Â EEK,PÃ¤rnu maakond Tori vald PÃ¤rivere kÃ¼la,Logging,02201 (EMTAK 2008),2.2,\n                                        Johannes Gill\n,100.00%,\n                                    50000.00 EEK,\n                                Johannes Gill\n,\n                                Liquidator\n,13.09.2002,
847,OÃœRentalSpace(16519313),16519313.0,Private limited company,Enteredintotheregister,14.06.2022,Capitalis2Â 500Â â‚¬,Valga maakond OtepÃ¤Ã¤ vald PÃ¤idla kÃ¼la JÃ¤rvesalu 67506,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.2,\n                                        Ermo Kruuse\n,100.00%,\n                                    2500.00 EUR,\n                                Ermo Kruuse\n,\n                                Management board member\n,14.06.2022,
848,osaÃ¼hingRESPAANIA(10420973),10420973.0,Private limited company,Deleted,30.03.1998,,,,,,,,,,,,02.11.2000
849,ReSpaceSetupOÃœ(16238637),16238637.0,Private limited company,Enteredintotheregister,26.05.2021,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa TornimÃ¤e tn 5 10145,Retail sale of furniture and articles for lighting,47591 (EMTAK 2008),47.59,\n                                        Anton Orlov\n,100.00%,\n                                    2500.00 EUR,\n                                Anton Orlov\n,\n                                Management board member\n,26.05.2021,
850,RespaceUÃœ(16397815),16397815.0,Limited partnership,Enteredintotheregister,22.12.2021,,Harju maakond Tallinn NÃµmme linnaosa RÃ¤nnaku pst 12 10917,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,,,,\n                                Watergate O\xc3\x9c\n,\n                                General partner\n,22.12.2021,
851,OsaÃ¼hingRESPAIT(10400083),10400083.0,Private limited company,Enteredintotheregister,04.03.1998,Capitalis2Â 556Â â‚¬,Ida-Viru maakond Kohtla-JÃ¤rve linn JÃ¤rve linnaosa Kauba tn 41 30328,Wholesale of equipment used in food industry and commercial activities,46693 (EMTAK 2008),46.69,"\n                                        Veera Trumm\n, \n                                        Edvard Trumm\n","50.00%, 50.00%","\n                                    1278.00 EUR, \n                                    1278.00 EUR",\n                                Eduard Trumm\n,\n                                Management board member\n,04.03.1998,
852,OsaÃ¼hingRespaKaubandus(11405220),11405220.0,Private limited company,Deleted,24.07.2007,,,,,,,,,,,,20.10.2011
853,RespakOÃœ(12250624),12250624.0,Private limited company,Enteredintotheregister,19.03.2012,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Saku tn 5-9 11314,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.2,\n                                        Jelena Jessipko\n,100.00%,\n                                    2500.00 EUR,\n                                Jelena Jessipko\n,\n                                Management board member\n,04.12.2018,
854,RespandgruppOÃœ(16293339),16293339.0,Private limited company,Enteredintotheregister,16.08.2021,Capitalis2Â 500Â â‚¬,Ida-Viru maakond Kohtla-JÃ¤rve linn JÃ¤rve linnaosa Sinivoore tn 11-64 30327,Other passenger land transport,49399 (EMTAK 2008),49.39,\n                                        Andres Peterson\n,100.00%,\n                                    2500.00 EUR,\n                                Andres Peterson\n,\n                                Management board member\n,16.08.2021,
855,ResporMajandamiseOÃœ(10532169),10532169.0,Private limited company,Deleted,16.02.1999,,,,,,,,,,,,21.11.2005
856,ResRakentaOÃœ(11978499),11978499.0,Private limited company,Deleted,16.08.2010,,,,,,,,,,,,13.11.2015
857,ResterOÃœ(12260427),12260427.0,Private limited company,Enteredintotheregister,03.04.2012,Capitalis2Â 500Â â‚¬,Ida-Viru maakond Narva linn Vestervalli tn 14-22 20307,Translation and interpretation activities,74301 (EMTAK 2008),74.3,"\n                                        Konstantin Bibikov\n, \n                                        Olga Semjonova\n","50.00%, 50.00%","\n                                    1250.00 EUR, \n                                    1250.00 EUR",\n                                Viktoria Pratkunaite\n,\n                                Management board member\n,15.01.2015,
858,RetrospActOÃœ(16309685),16309685.0,Private limited company,Enteredintotheregister,07.09.2021,Capitalis2Â 500Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Laulupeo tn 3a-1 10121,Other information service activities n.e.c.,63991 (EMTAK 2008),63.99,\n                                        Ekaterina Shalamova\n,100.00%,\n                                    2500.00 EUR,\n                                Ekaterina Shalamova\n,\n                                Management board member\n,07.09.2021,
859,OÃœRevalManagement(11279471),11279471.0,Private limited company,Deleted,10.08.2006,,,,,,,,,,,,08.08.2011
860,RevalSTCOÃœ(11281924),11281924.0,Private limited company,Enteredintotheregister,22.08.2006,Capitalis2Â 556Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa TÃ¼ri tn 7/1 11314,Media representation,73121 (EMTAK 2008),73.12,\n                                        Marina Zaitseva\n,100.00%,\n                                    2556.00 EUR,\n                                Marina Larsson\n,\n                                Management board member\n,15.10.2020,
861,RevelAutoSpaOÃœ(11416436),11416436.0,Private limited company,Deleted,23.08.2007,,,,,,,,,,,,29.06.2017
862,RGBFotoOÃœ(11127368),11127368.0,Private limited company,Deleted,29.04.2005,,,,,,,,,,,,28.08.2012
863,OSAÃœHINGRIISPAU(10239110),10239110.0,Private limited company,Deleted,25.08.1997,,,,,,,,,,,,16.03.2018
864,RittaSpatar(11665257),11665257.0,Sole trader,Deleted,04.06.2009,,,,,,,,,,,,18.05.2020
865,RoadUÃœ(11432576),11432576.0,Limited partnership,Deleted,15.10.2007,,,,,,,,,,,,28.06.2018
866,RodelDeepSpaceOperationsOÃœ(16096344),16096344.0,Private limited company,Enteredintotheregister,12.11.2020,Capitalis2Â 500Â â‚¬,,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,\n                                        Pascal Alexander Rodel\n,100.00%,\n                                    2500.00 EUR,\n                                Pascal Alexander Rodel\n,\n                                Management board member\n,12.11.2020,
867,Rooma-KatolikuKirikuPÃ¼himaNeitsiMaarjaPÃ¤rispatutaSaamiseKogudusTartus(80216292),80216292.0,Non-profit association,Enteredintotheregister,19.01.2005,,Tartu maakond Tartu linn Tartu linn Veski tn 1-1A 51005,"Activities of churches, congregations and monasteries",94911 (EMTAK 2008),94.91,,,,\n                                Miguel Angel Arata Rosenthal\n,\n                                Management board member\n,19.01.2005,
868,ROOSIKRANTSIKINNISVARAOÃœ(11606059),11606059.0,Private limited company,Enteredintotheregister,05.03.2009,Capitalis2Â 556Â â‚¬,Harju maakond Tallinn Kesklinna linnaosa Roosikrantsi tn 17 10119,Hairdressing and other beauty treatment,9602 (EMTAK 2008),96.02,\n                                        Kaarin Vilms\n,100.00%,\n                                    2556.00 EUR,\n                                Kaarin Vilms\n,\n                                Management board member\n,28.12.2009,
869,RopkaAutospaOÃœ(12862356),12862356.0,Private limited company,Enteredintotheregister,08.06.2015,Capitalis2Â 500Â â‚¬,Tartu maakond Tartu linn Tartu linn Ringtee tn 43 50105,Car washing and other services,45202 (EMTAK 2008),45.2,"\n                                        Markko Kolossov\n, \n                                        Juliana Loorits\n, \n                                        Rauno Serg\n","50.00%, 25.00%, 25.00%","\n                                    1250.00 EUR, \n                                    625.00 EUR, \n                                    625.00 EUR",\n                                Markko Kolossov\n,\n                                Management board member\n,08.06.2015,
870,OsaÃ¼hingRospa(11718491),11718491.0,Private limited company,Deleted,15.09.2009,,,,,,,,,,,,10.05.2017
871,RTKFassaadOÃœ(14768207),14768207.0,Private limited company,Enteredintotheregister,24.07.2019,Capitalis2Â 508Â â‚¬,Harju maakond Tallinn LasnamÃ¤e linnaosa Kalevipoja tn 4-9 13625,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,\n                                        EGNE KESKLA\n,100.00%,\n                                    2508.00 EUR,\n                                Egne Keskla\n,\n                                Management board member\n,21.10.2019,
872,OsaÃ¼hingRukkililleSPAR(10683514),10683514.0,Private limited company,Deleted,02.08.2000,,,,,,,,,,,,25.02.2004
873,RU-rakennuspalvelutOÃœ(14309942),14309942.0,Private limited company,Enteredintotheregister,10.08.2017,Capitalis2Â 500Â â‚¬,Harju maakond Rae vald Peetri alevik Helgi tee 4 75312,Other building completion and finishing,43391 (EMTAK 2008),43.39,\n                                        RENALD UNNUK\n,100.00%,\n                                    2500.00 EUR,\n                                Renald Unnuk\n,\n                                Management board member\n,10.08.2017,
874,RusalkaSpa&BeautyOÃœ(16292571),16292571.0,Private limited company,Enteredintotheregister,16.08.2021,Capitalis2Â 500Â â‚¬,PÃ¤rnu maakond PÃ¤rnu linn PÃ¤rnu linn Lehola tn 40 80026,Retail sale of cosmetic and toilet articles in specialised stores,47751 (EMTAK 2008),47.75,\n                                        Jelena \xc5\xa0inkarjova\n,100.00%,\n                                    2500.00 EUR,\n                                Jelena \xc5\xa0inkarjova\n,\n                                Management board member\n,16.08.2021,
875,SaareEhituspartnerOÃœ(14852764),14852764.0,Private limited company,Enteredintotheregister,20.11.2019,Capitalis2Â 500Â â‚¬,Saare maakond Saaremaa vald LahekÃ¼la Kajaka pÃµik 9 93873,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.2,\n                                        Janis N\xc3\xb5gu\n,100.00%,\n                                    2500.00 EUR,\n                                Janis N\xc3\xb5gu\n,\n                                Management board member\n,20.11.2019,
